iter	Passed	Remaining
125	3069	1945659
126	3091	1944411
127	3114	1943464
128	3137	1942324
129	3159	1941092
130	3182	1940599
131	3206	1940170
132	3228	1939025
133	3252	1938377
134	3274	1937202
135	3296	1935944
136	3319	1935292
137	3343	1935157
138	3368	1935560
139	3394	1936269
140	3420	1937372
141	3445	1937857
142	3471	1938601
143	3497	1939815
144	3525	1941556
145	3553	1943420
146	3581	1945460
147	3608	1946808
148	3636	1948584
149	3663	1950175
150	3690	1951569
151	3717	1952979
152	3744	1954133
153	3772	1955990
154	3800	1957708
155	3828	1959326
156	3853	1959676
157	3877	1959305
158	3901	1959257
159	3925	1958901
160	3950	1959060
161	3974	1958621
162	3999	1958707
163	4023	1958463
164	4047	1958467
165	4072	1958351
166	4096	1958328
167	4120	1957931
168	4144	1957635
169	4167	1957141
170	4193	1957756
171	4219	1958287
172	4244	1958391
173	4269	1958569
174	4292	1957944
175	4317	1957997
176	4340	1957568
177	4365	1957544
178	4388	1956964
179	4412	1956900
180	4437	1956868
181	4461	1956523
182	4485	1956178
183	4509	1955950
184	4533	1955748
185	4556	1955336
186	4580	1955073
187	4603	1954448
188	4626	1953568
189	4649	1952939
190	4672	1952242
191	4695	1951888
192	4718	1951085
193	4741	1950459
194	4764	1950033
195	4787	1949295
196	4813	1949945
197	4836	1949379
198	4861	1949422
199	4886	1949514
200	4909	1949262
201	4934	1949295
202	4958	1949223
203	4983	1949415
204	5008	1949419
205	5033	1949559
206	5056	1949278
207	5081	1949385
208	5105	1949148
209	5128	1948755
210	5152	1948467
211	5176	1948343
212	5201	1948344
213	5224	1947974
214	5249	1948162
215	5273	1948055
216	5298	1948177
217	5322	1947878
218	5346	1947669
219	5370	1947472
220	5394	1947450
221	5418	1947207
222	5442	1946998
223	5467	1947185
224	5491	1947076
225	5516	1947202
226	5539	1946700
227	5563	1946510
228	5586	1945908
229	5609	1945631
230	5633	1945268
231	5656	1944902
232	5681	1944961
233	5703	1944363
234	5728	1944338
235	5751	1944007
236	5775	1943910
237	5799	1943757
238	5823	1943439
239	5847	1943334
240	5870	1942928
241	5894	1942785
242	5918	1942408
243	5941	1942134
244	5965	1942000
245	5988	1941633
246	6012	1941361
247	6036	1941329
248	6061	1941456
249	6084	1941097
250	6108	1940727
251	6133	1940901
252	6156	1940669
253	6181	1940611
254	6205	1940468
255	6229	1940337
256	6253	1940293
257	6278	1940443
258	6301	1940039
259	6325	1939923
260	6348	1939690
261	6372	1939441
262	6396	1939376
263	6419	1938979
264	6443	1938866
265	6466	1938473
266	6490	1938268
267	6514	1938117
268	6537	1937794
269	6562	1937734
270	6585	1937571
271	6610	1937698
272	6634	1937636
273	6659	1937597
274	6684	1937761
275	6709	1938046
276	6733	1938032
277	6758	1938060
278	6782	1938007
279	6806	1937795
280	6830	1937887
281	6854	1937809
282	6879	1937919
283	6903	1937879
284	6929	1938119
285	6952	1937854
286	6978	1938176
287	7002	1938226
288	7027	1938356
289	7051	1938321
290	7076	1938373
291	7100	1938211
292	7124	1938106
293	7148	1938032
294	7174	1938421
295	7199	1938494
296	7223	1938455
297	7247	1938467
298	7271	1938189
299	7294	1937922
300	7317	1937546
301	7341	1937391
302	7363	1936863
303	7386	1936455
304	7409	1936117
305	7432	1935728
306	7455	1935399
307	7479	1935200
308	7502	1934984
309	7527	1935119
310	7551	1935040
311	7577	1935373
312	7602	1935404
313	7626	1935521
314	7650	1935284
315	7675	1935547
316	7699	1935458
317	7724	1935503
318	7748	1935482
319	7772	1935323
320	7796	1935216
321	7819	1934981
322	7843	1934874
323	7866	1934555
324	7890	1934505
325	7914	1934278
326	7937	1933993
327	7961	1933851
328	7984	1933564
329	8009	1933660
330	8033	1933485
331	8056	1933248
332	8079	1932930
333	8101	1932473
334	8125	1932275
335	8148	1931911
336	8172	1931991
337	8196	1931902
338	8220	1931741
339	8244	1931593
340	8267	1931323
341	8291	1931356
342	8314	1930861
343	8337	1930522
344	8359	1930099
345	8381	1929637
346	8405	1929539
347	8428	1929111
348	8451	1928805
349	8474	1928593
350	8497	1928308
351	8521	1928127
352	8544	1927979
353	8568	1927790
354	8592	1927780
355	8615	1927407
356	8639	1927272
357	8661	1926925
358	8684	1926592
359	8707	1926378
360	8729	1925869
361	8753	1925656
362	8776	1925521
363	8799	1925195
364	8823	1925009
365	8845	1924624
366	8868	1924319
367	8892	1924183
368	8915	1923970
369	8939	1923902
370	8962	1923634
371	8986	1923556
372	9010	1923447
373	9034	1923383
374	9057	1923262
375	9080	1923003
376	9104	1922822
377	9128	1922791
378	9152	1922806
379	9177	1922957
380	9201	1922855
381	9225	1922875
382	9249	1922729
383	9273	1922736
384	9296	1922523
385	9321	1922580
386	9345	1922478
387	9368	1922238
388	9393	1922350
389	9416	1922081
390	9440	1922158
391	9464	1921997
392	9488	1922102
393	9512	1921962
394	9538	1922364
395	9562	1922329
396	9587	1922350
397	9610	1922165
398	9633	1921976
399	9658	1921995
400	9680	1921670
401	9704	1921612
402	9728	1921493
403	9753	1921613
404	9777	1921538
405	9805	1922266
406	9829	1922253
407	9853	1922277
408	9876	1922043
409	9899	1921713
410	9923	1921603
411	9946	1921390
412	9970	1921294
413	9993	1921160
414	10016	1920967
415	10041	1920991
416	10064	1920828
417	10090	1921088
418	10114	1920962
419	10138	1920981
420	10161	1920796
421	10186	1920967
422	10210	1920827
423	10233	1920639
424	10256	1920458
425	10280	1920306
426	10303	1920067
427	10325	1919742
428	10348	1919396
429	10371	1919121
430	10393	1918718
431	10415	1918396
432	10437	1918058
433	10460	1917691
434	10481	1917229
435	10504	1916910
436	10526	1916577
437	10550	1916414
438	10572	1916161
439	10594	1915740
440	10617	1915398
441	10639	1915128
442	10661	1914714
443	10683	1914301
444	10706	1914000
445	10728	1913591
446	10750	1913266
447	10771	1912759
448	10793	1912276
449	10815	1911900
450	10837	1911625
451	10859	1911152
452	10881	1910732
453	10903	1910449
454	10926	1910240
455	10949	1909997
456	10971	1909700
457	10993	1909352
458	11016	1909140
459	11039	1908896
460	11061	1908550
461	11083	1908192
462	11105	1907694
463	11126	1907299
464	11148	1906946
465	11172	1906808
466	11195	1906596
467	11218	1906396
468	11240	1906135
469	11263	1905857
470	11285	1905506
471	11306	1905052
472	11328	1904712
473	11351	1904443
474	11372	1904032
475	11394	1903630
476	11416	1903363
477	11439	1903101
478	11461	1902776
479	11484	1902544
480	11506	1902271
481	11528	1901920
482	11552	1901945
483	11574	1901563
484	11596	1901196
485	11618	1900886
486	11640	1900601
487	11663	1900316
488	11684	1899947
489	11707	1899685
490	11729	1899363
491	11751	1899059
492	11773	1898664
493	11794	1898291
494	11817	1898083
495	11839	1897785
496	11861	1897506
497	11884	1897271
498	11906	1897015
499	11930	1896965
500	11954	1897010
501	11977	1896856
502	12001	1896746
503	12024	1896627
504	12049	1896777
505	12072	1896629
506	12095	1896402
507	12119	1896399
508	12142	1896362
509	12166	1896309
510	12190	1896287
511	12214	1896246
512	12240	1896568
513	12264	1896552
514	12288	1896627
515	12311	1896489
516	12335	1896505
517	12360	1896520
518	12385	1896757
519	12408	1896638
520	12433	1896790
521	12456	1896572
522	12479	1896367
523	12503	1896480
524	12526	1896201
525	12549	1896051
526	12570	1895669
527	12592	1895325
528	12615	1895139
529	12637	1894852
530	12658	1894529
531	12680	1894232
532	12703	1894014
533	12725	1893749
534	12748	1893592
535	12770	1893293
536	12792	1892960
537	12814	1892733
538	12837	1892480
539	12859	1892292
540	12882	1892107
541	12904	1891877
542	12927	1891705
543	12950	1891559
544	12972	1891287
545	12994	1891018
546	13017	1890859
547	13040	1890741
548	13064	1890640
549	13086	1890373
550	13108	1890092
551	13132	1890119
552	13154	1889900
553	13178	1889815
554	13201	1889704
555	13224	1889550
556	13247	1889381
557	13268	1889013
558	13290	1888680
559	13313	1888561
560	13336	1888499
561	13359	1888296
562	13381	1888130
563	13404	1887896
564	13427	1887749
565	13449	1887599
566	13471	1887256
567	13492	1886927
568	13515	1886732
569	13537	1886496
570	13560	1886268
571	13583	1886139
572	13604	1885783
573	13627	1885622
574	13650	1885536
575	13672	1885280
576	13695	1885111
577	13717	1884922
578	13739	1884703
579	13762	1884572
580	13784	1884304
581	13806	1884033
582	13829	1883850
583	13851	1883573
584	13872	1883215
585	13894	1883026
586	13916	1882762
587	13939	1882535
588	13961	1882296
589	13983	1882096
590	14005	1881814
591	14027	1881599
592	14050	1881450
593	14071	1881120
594	14093	1880794
595	14115	1880634
596	14138	1880471
597	14161	1880304
598	14184	1880296
599	14207	1880146
600	14231	1880153
601	14254	1880014
602	14277	1879940
603	14300	1879794
604	14323	1879700
605	14346	1879616
606	14368	1879398
607	14391	1879290
608	14415	1879251
609	14438	1879136
610	14460	1878952
611	14483	1878778
612	14505	1878603
613	14529	1878513
614	14552	1878480
615	14575	1878288
616	14597	1878159
617	14619	1877918
618	14643	1877942
619	14665	1877718
620	14687	1877445
621	14710	1877363
622	14733	1877177
623	14755	1877033
624	14779	1876951
625	14804	1877087
626	14827	1877088
627	14849	1876856
628	14871	1876595
629	14894	1876427
630	14916	1876192
631	14938	1876028
632	14961	1875844
633	14982	1875594
634	15005	1875392
635	15027	1875231
636	15050	1875123
637	15072	1874917
638	15094	1874732
639	15116	1874451
640	15139	1874297
641	15162	1874206
642	15185	1874113
643	15208	1874024
644	15231	1873961
645	15253	1873772
646	15276	1873664
647	15298	1873439
648	15321	1873256
649	15344	1873222
650	15366	1873017
651	15389	1872834
652	15412	1872843
653	15436	1872798
654	15459	1872675
655	15481	1872473
656	15503	1872284
657	15527	1872316
658	15553	1872552
659	15577	1872641
660	15603	1872915
661	15629	1873105
662	15653	1873172
663	15677	1873193
664	15700	1873030
665	15723	1872980
666	15746	1872870
667	15769	1872828
668	15793	1872797
669	15816	1872727
670	15839	1872641
671	15863	1872685
672	15887	1872646
673	15910	1872622
674	15934	1872623
675	15959	1872754
676	15982	1872689
677	16005	1872557
678	16031	1872825
679	16055	1872805
680	16079	1872861
681	16104	1872937
682	16131	1873299
683	16158	1873708
684	16185	1874034
685	16211	1874386
686	16237	1874622
687	16265	1875016
688	16291	1875329
689	16317	1875598
690	16345	1876027
691	16371	1876236
692	16397	1876493
693	16423	1876762
694	16449	1877053
695	16476	1877417
696	16502	1877615
697	16528	1877910
698	16555	1878198
699	16580	1878387
700	16607	1878693
701	16634	1879019
702	16662	1879531
703	16690	1879911
704	16717	1880318
705	16744	1880641
706	16767	1880591
707	16792	1880611
708	16816	1880628
709	16840	1880694
710	16864	1880675
711	16887	1880578
712	16912	1880725
713	16936	1880735
714	16961	1880835
715	16984	1880677
716	17007	1880577
717	17031	1880674
718	17054	1880580
719	17077	1880432
720	17100	1880275
721	17123	1880205
722	17146	1880131
723	17169	1880007
724	17192	1879924
725	17214	1879708
726	17237	1879611
727	17260	1879455
728	17281	1879174
729	17303	1878997
730	17327	1878992
731	17350	1878897
732	17373	1878818
733	17395	1878604
734	17418	1878424
735	17441	1878382
736	17464	1878252
737	17486	1878037
738	17508	1877886
739	17531	1877734
740	17553	1877557
741	17575	1877371
742	17598	1877214
743	17622	1877245
744	17644	1877064
745	17668	1877055
746	17691	1877025
747	17717	1877172
748	17742	1877276
749	17765	1877252
750	17790	1877302
751	17814	1877327
752	17838	1877351
753	17862	1877343
754	17886	1877357
755	17911	1877502
756	17937	1877654
757	17960	1877640
758	17984	1877619
759	18009	1877772
760	18034	1877798
761	18058	1877843
762	18081	1877706
763	18105	1877761
764	18129	1877794
765	18154	1877885
766	18178	1877914
767	18202	1877923
768	18226	1877947
769	18249	1877836
770	18273	1877760
771	18296	1877694
772	18320	1877674
773	18344	1877776
774	18367	1877670
775	18392	1877728
776	18416	1877771
777	18441	1877846
778	18465	1877855
779	18490	1877965
780	18514	1877927
781	18538	1878002
782	18562	1877993
783	18586	1878038
784	18609	1877899
785	18632	1877776
786	18655	1877703
787	18678	1877658
788	18701	1877570
789	18725	1877576
790	18750	1877610
791	18774	1877674
792	18799	1877786
793	18825	1877915
794	18850	1878029
795	18874	1878097
796	18898	1878034
797	18922	1878065
798	18944	1877903
799	18967	1877735
800	18990	1877658
801	19013	1877607
802	19035	1877448
803	19058	1877291
804	19081	1877183
805	19105	1877208
806	19128	1877125
807	19151	1877054
808	19174	1876910
809	19196	1876748
810	19219	1876634
811	19242	1876592
812	19265	1876458
813	19288	1876346
814	19309	1876128
815	19331	1875950
816	19353	1875768
817	19375	1875516
818	19397	1875396
819	19422	1875473
820	19446	1875461
821	19470	1875458
822	19493	1875411
823	19515	1875222
824	19539	1875160
825	19562	1875069
826	19585	1875027
827	19608	1874949
828	19630	1874785
829	19653	1874705
830	19676	1874596
831	19699	1874438
832	19722	1874421
833	19746	1874364
834	19768	1874241
835	19794	1874448
836	19818	1874451
837	19841	1874337
838	19866	1874438
839	19889	1874359
840	19912	1874307
841	19937	1874316
842	19960	1874251
843	19982	1874132
844	20006	1874114
845	20031	1874228
846	20057	1874434
847	20083	1874545
848	20107	1874630
849	20131	1874593
850	20155	1874625
851	20178	1874549
852	20202	1874515
853	20228	1874690
854	20254	1874892
855	20279	1874981
856	20304	1875059
857	20328	1875087
858	20352	1875083
859	20373	1874822
860	20394	1874600
861	20417	1874488
862	20438	1874208
863	20459	1873917
864	20481	1873740
865	20504	1873636
866	20525	1873385
867	20546	1873162
868	20569	1873016
869	20591	1872886
870	20613	1872661
871	20636	1872640
872	20657	1872383
873	20680	1872256
874	20703	1872168
875	20727	1872155
876	20749	1872061
877	20773	1872024
878	20797	1872071
879	20822	1872160
880	20850	1872490
881	20874	1872508
882	20897	1872447
883	20919	1872260
884	20942	1872168
885	20966	1872146
886	20987	1871953
887	21011	1871899
888	21033	1871723
889	21054	1871515
890	21077	1871373
891	21099	1871262
892	21122	1871167
893	21146	1871138
894	21170	1871139
895	21193	1871113
896	21219	1871298
897	21244	1871325
898	21268	1871343
899	21291	1871264
900	21314	1871231
901	21339	1871271
902	21361	1871124
903	21384	1871078
904	21406	1870902
905	21428	1870753
906	21450	1870572
907	21472	1870388
908	21497	1870448
909	21519	1870312
910	21542	1870265
911	21566	1870221
912	21589	1870144
913	21613	1870126
914	21635	1870001
915	21659	1869984
916	21681	1869826
917	21704	1869762
918	21728	1869764
919	21750	1869600
920	21772	1869457
921	21796	1869444
922	21819	1869324
923	21841	1869213
924	21866	1869267
925	21890	1869295
926	21915	1869412
927	21938	1869292
928	21962	1869316
929	21986	1869330
930	22011	1869387
931	22033	1869241
932	22055	1869070
933	22078	1868975
934	22102	1868990
935	22127	1869085
936	22151	1869106
937	22173	1868987
938	22198	1869020
939	22231	1869788
940	22264	1870595
941	22292	1870917
942	22316	1870917
943	22339	1870800
944	22363	1870824
945	22387	1870860
946	22413	1870977
947	22437	1871003
948	22461	1871067
949	22484	1870912
950	22506	1870768
951	22530	1870752
952	22552	1870641
953	22574	1870458
954	22597	1870427
955	22621	1870369
956	22644	1870340
957	22667	1870220
958	22690	1870144
959	22714	1870141
960	22737	1870098
961	22760	1870008
962	22782	1869862
963	22806	1869856
964	22829	1869774
965	22851	1869574
966	22872	1869391
967	22894	1869237
968	22916	1869093
969	22939	1868953
970	22961	1868800
971	22982	1868614
972	23005	1868475
973	23028	1868443
974	23049	1868207
975	23072	1868124
976	23095	1868004
977	23116	1867778
978	23138	1867633
979	23162	1867634
980	23184	1867498
981	23206	1867324
982	23228	1867155
983	23249	1866993
984	23271	1866772
985	23294	1866707
986	23317	1866654
987	23339	1866506
988	23362	1866436
989	23383	1866216
990	23405	1866030
991	23427	1865893
992	23448	1865672
993	23469	1865427
994	23491	1865263
995	23513	1865110
996	23534	1864923
997	23556	1864755
998	23579	1864655
999	23602	1864590
1000	23626	1864568
1001	23647	1864409
1002	23671	1864379
1003	23694	1864279
1004	23715	1864089
1005	23737	1863954
1006	23760	1863832
1007	23781	1863648
1008	23805	1863613
1009	23827	1863492
1010	23850	1863440
1011	23872	1863311
1012	23896	1863285
1013	23918	1863138
1014	23942	1863112
1015	23964	1862999
1016	23986	1862884
1017	24010	1862887
1018	24034	1862867
1019	24056	1862762
1020	24079	1862661
1021	24102	1862571
1022	24125	1862532
1023	24148	1862463
1024	24177	1862809
1025	24200	1862809
1026	24225	1862873
1027	24248	1862775
1028	24270	1862672
1029	24293	1862613
1030	24318	1862627
1031	24342	1862673
1032	24364	1862507
1033	24386	1862369
1034	24409	1862313
1035	24432	1862280
1036	24455	1862177
1037	24476	1861982
1038	24499	1861881
1039	24520	1861705
1040	24543	1861589
1041	24565	1861442
1042	24586	1861268
1043	24608	1861119
1044	24630	1860945
1045	24651	1860757
1046	24674	1860644
1047	24695	1860465
1048	24716	1860258
1049	24740	1860233
1050	24762	1860109
1051	24811	1862013
1052	24836	1862084
1053	24863	1862283
1054	24889	1862430
1055	24913	1862492
1056	24938	1862590
1057	24964	1862691
1058	24991	1862957
1059	25017	1863110
1060	25042	1863195
1061	25065	1863095
1062	25089	1863125
1063	25112	1863048
1064	25135	1863000
1065	25160	1863089
1066	25183	1862994
1067	25206	1862954
1068	25229	1862889
1069	25252	1862752
1070	25275	1862709
1071	25298	1862632
1072	25321	1862616
1073	25344	1862526
1074	25370	1862696
1075	25394	1862667
1076	25418	1862649
1077	25442	1862656
1078	25465	1862619
1079	25489	1862618
1080	25512	1862566
1081	25535	1862470
1082	25559	1862463
1083	25581	1862361
1084	25606	1862417
1085	25630	1862417
1086	25654	1862448
1087	25678	1862448
1088	25701	1862353
1089	25723	1862248
1090	25746	1862180
1091	25771	1862215
1092	25802	1862764
1093	25838	1863662
1094	25864	1863802
1095	25893	1864117
1096	25922	1864519
1097	25949	1864709
1098	25977	1865034
1099	26005	1865290
1100	26030	1865354
1101	26057	1865608
1102	26084	1865829
1103	26110	1865960
1104	26136	1866093
1105	26162	1866228
1106	26189	1866469
1107	26215	1866593
1108	26240	1866642
1109	26264	1866654
1110	26290	1866846
1111	26320	1867272
1112	26346	1867411
1113	26392	1868913
1114	26427	1869709
1115	26451	1869700
1116	26474	1869645
1117	26499	1869716
1118	26527	1869995
1119	26553	1870144
1120	26576	1870078
1121	26599	1869996
1122	26622	1869929
1123	26644	1869741
1124	26665	1869549
1125	26687	1869425
1126	26709	1869228
1127	26731	1869120
1128	26754	1869077
1129	26776	1868926
1130	26799	1868810
1131	26820	1868631
1132	26841	1868402
1133	26862	1868177
1134	26884	1868054
1135	26905	1867879
1136	26926	1867660
1137	26948	1867466
1138	26970	1867372
1139	26992	1867239
1140	27013	1867034
1141	27035	1866886
1142	27056	1866692
1143	27078	1866489
1144	27100	1866411
1145	27122	1866231
1146	27144	1866130
1147	27168	1866118
1148	27190	1865964
1149	27212	1865813
1150	27234	1865679
1151	27257	1865626
1152	27279	1865489
1153	27302	1865410
1154	27324	1865277
1155	27345	1865064
1156	27367	1864940
1157	27389	1864830
1158	27412	1864728
1159	27434	1864621
1160	27456	1864465
1161	27479	1864371
1162	27501	1864246
1163	27522	1864047
1164	27544	1863948
1165	27568	1863909
1166	27590	1863816
1167	27613	1863746
1168	27636	1863667
1169	27659	1863609
1170	27682	1863553
1171	27706	1863491
1172	27727	1863287
1173	27748	1863088
1174	27770	1863004
1175	27795	1863030
1176	27820	1863150
1177	27844	1863115
1178	27869	1863221
1179	27891	1863086
1180	27913	1862902
1181	27935	1862775
1182	27957	1862652
1183	27978	1862439
1184	28000	1862359
1185	28022	1862217
1186	28043	1861996
1187	28065	1861847
1188	28087	1861712
1189	28109	1861597
1190	28131	1861481
1191	28154	1861424
1192	28177	1861333
1193	28202	1861386
1194	28227	1861495
1195	28254	1861676
1196	28279	1861767
1197	28305	1861847
1198	28327	1861760
1199	28350	1861683
1200	28372	1861552
1201	28394	1861406
1202	28418	1861396
1203	28441	1861328
1204	28463	1861243
1205	28486	1861192
1206	28509	1861069
1207	28530	1860936
1208	28553	1860846
1209	28574	1860663
1210	28596	1860529
1211	28618	1860394
1212	28639	1860207
1213	28662	1860136
1214	28686	1860163
1215	28741	1862140
1216	28776	1862865
1217	28802	1862982
1218	28827	1863065
1219	28856	1863354
1220	28883	1863574
1221	28906	1863486
1222	28928	1863392
1223	28954	1863527
1224	28976	1863354
1225	28999	1863326
1226	29021	1863175
1227	29043	1863032
1228	29063	1862801
1229	29084	1862581
1230	29105	1862426
1231	29125	1862152
1232	29147	1862011
1233	29169	1861899
1234	29190	1861698
1235	29212	1861566
1236	29233	1861382
1237	29253	1861143
1238	29273	1860888
1239	29295	1860767
1240	29316	1860555
1241	29337	1860356
1242	29358	1860173
1243	29380	1860047
1244	29402	1859901
1245	29423	1859706
1246	29444	1859538
1247	29466	1859421
1248	29487	1859200
1249	29508	1859055
1250	29529	1858864
1251	29550	1858638
1252	29570	1858422
1253	29591	1858232
1254	29613	1858127
1255	29635	1857994
1256	29656	1857777
1257	29677	1857584
1258	29698	1857429
1259	29720	1857290
1260	29741	1857086
1261	29764	1857034
1262	29789	1857138
1263	29812	1857071
1264	29838	1857170
1265	29861	1857141
1266	29883	1856972
1267	29904	1856804
1268	29925	1856636
1269	29949	1856619
1270	29970	1856464
1271	29992	1856317
1272	30013	1856167
1273	30035	1856019
1274	30056	1855839
1275	30078	1855735
1276	30099	1855568
1277	30120	1855363
1278	30145	1855402
1279	30166	1855220
1280	30187	1855046
1281	30209	1854948
1282	30231	1854813
1283	30252	1854658
1284	30276	1854641
1285	30297	1854467
1286	30317	1854219
1287	30338	1854046
1288	30361	1853991
1289	30383	1853860
1290	30404	1853704
1291	30425	1853518
1292	30446	1853340
1293	30466	1853100
1294	30487	1852907
1295	30509	1852770
1296	30530	1852616
1297	30554	1852624
1298	30576	1852513
1299	30598	1852413
1300	30619	1852201
1301	30640	1852033
1302	30662	1851929
1303	30683	1851728
1304	30704	1851564
1305	30725	1851384
1306	30747	1851299
1307	30769	1851182
1308	30796	1851321
1309	30822	1851461
1310	30846	1851496
1311	30869	1851426
1312	30893	1851421
1313	30914	1851261
1314	30936	1851130
1315	30958	1851006
1316	30980	1850895
1317	31001	1850734
1318	31022	1850577
1319	31045	1850477
1320	31066	1850335
1321	31088	1850184
1322	31109	1850042
1323	31130	1849856
1324	31152	1849727
1325	31172	1849522
1326	31194	1849392
1327	31214	1849196
1328	31236	1849043
1329	31257	1848910
1330	31279	1848760
1331	31299	1848568
1332	31322	1848510
1333	31346	1848501
1334	31367	1848346
1335	31388	1848187
1336	31409	1848013
1337	31431	1847851
1338	31450	1847611
1339	31470	1847374
1340	31490	1847158
1341	31513	1847063
1342	31535	1846986
1343	31556	1846804
1344	31578	1846680
1345	31600	1846591
1346	31623	1846512
1347	31645	1846401
1348	31666	1846266
1349	31688	1846172
1350	31714	1846247
1351	31739	1846317
1352	31762	1846277
1353	31784	1846200
1354	31808	1846182
1355	31832	1846178
1356	31855	1846162
1357	31878	1846114
1358	31903	1846141
1359	31928	1846234
1360	31952	1846246
1361	31977	1846298
1362	32001	1846302
1363	32026	1846368
1364	32051	1846400
1365	32075	1846459
1366	32101	1846543
1367	32125	1846574
1368	32149	1846561
1369	32174	1846602
1370	32195	1846436
1371	32215	1846235
1372	32235	1846023
1373	32257	1845918
1374	32279	1845810
1375	32300	1845654
1376	32323	1845581
1377	32346	1845548
1378	32368	1845420
1379	32391	1845398
1380	32413	1845268
1381	32437	1845272
1382	32457	1845073
1383	32478	1844869
1384	32498	1844690
1385	32520	1844541
1386	32541	1844418
1387	32563	1844287
1388	32584	1844141
1389	32607	1844094
1390	32628	1843904
1391	32649	1843786
1392	32671	1843670
1393	32693	1843572
1394	32715	1843466
1395	32738	1843412
1396	32760	1843302
1397	32781	1843134
1398	32804	1843079
1399	32826	1843000
1400	32849	1842925
1401	32874	1843014
1402	32897	1842922
1403	32919	1842844
1404	32942	1842786
1405	32965	1842715
1406	32988	1842706
1407	33011	1842618
1408	33034	1842577
1409	33055	1842440
1410	33077	1842310
1411	33098	1842157
1412	33121	1842096
1413	33143	1842016
1414	33166	1841976
1415	33191	1842049
1416	33215	1842057
1417	33240	1842083
1418	33262	1841998
1419	33285	1841940
1420	33307	1841855
1421	33328	1841695
1422	33350	1841615
1423	33371	1841449
1424	33393	1841317
1425	33413	1841122
1426	33435	1840995
1427	33455	1840825
1428	33476	1840657
1429	33497	1840469
1430	33517	1840264
1431	33537	1840052
1432	33556	1839815
1433	33576	1839590
1434	33596	1839401
1435	33618	1839267
1436	33638	1839083
1437	33659	1838921
1438	33679	1838719
1439	33699	1838521
1440	33719	1838299
1441	33740	1838139
1442	33761	1837970
1443	33781	1837750
1444	33801	1837558
1445	33821	1837372
1446	33842	1837206
1447	33862	1836992
1448	33882	1836776
1449	33901	1836526
1450	33920	1836269
1451	33939	1836015
1452	33958	1835768
1453	33978	1835517
1454	33997	1835269
1455	34017	1835050
1456	34036	1834810
1457	34056	1834591
1458	34076	1834398
1459	34096	1834225
1460	34117	1834078
1461	34140	1834018
1462	34162	1833895
1463	34184	1833814
1464	34205	1833682
1465	34227	1833573
1466	34250	1833519
1467	34272	1833412
1468	34294	1833351
1469	34318	1833353
1470	34341	1833294
1471	34363	1833215
1472	34386	1833159
1473	34407	1833015
1474	34428	1832875
1475	34450	1832810
1476	34471	1832638
1477	34492	1832483
1478	34512	1832314
1479	34536	1832291
1480	34557	1832157
1481	34578	1832009
1482	34603	1832069
1483	34627	1832091
1484	34651	1832102
1485	34675	1832084
1486	34699	1832096
1487	34722	1832085
1488	34746	1832105
1489	34770	1832127
1490	34794	1832108
1491	34817	1832096
1492	34840	1832052
1493	34864	1832058
1494	34889	1832130
1495	34913	1832137
1496	34938	1832163
1497	34963	1832263
1498	34990	1832395
1499	35015	1832484
1500	35041	1832577
